RUN	perf.TestSimulation	testsimulation	1707067935604	 	3.0.3
REQUEST	7	Itinerary	/cgi-bin/welcome.pl	1707068046409	1707068046687	OK	 
REQUEST	7	Itinerary	/cgi-bin/nav.pl	1707068046689	1707068046781	OK	 
REQUEST	5	Itinerary	/cgi-bin/itinerary.pl	1707068011250	1707068051085	OK	 
GROUP	5	Itinerary	1707068011036	1707068052080	40044	OK
REQUEST	5	signoff	/cgi-bin/welcome.pl	1707068052081	1707068052217	OK	 
REQUEST	5	signoff	/cgi-bin/nav.pl	1707068052220	1707068052319	OK	 
GROUP	5	signoff	1707068052080	1707068053318	235	OK
USER	mainScenario	5	END	1707068005288	1707068053318
USER	mainScenario	8	START	1707068057297	1707068057297
REQUEST	8	open	/webtours/	1707068057298	1707068057462	OK	 
REQUEST	8	open	/cgi-bin/welcome.pl	1707068057463	1707068057535	OK	 
REQUEST	8	open	/cgi-bin/nav.pll	1707068057536	1707068057741	OK	 
GROUP	8	open	1707068057298	1707068058767	441	OK
REQUEST	8	login	/cgi-bin/login.pl	1707068058769	1707068058967	OK	 
REQUEST	8	login	/cgi-bin/login.pl	1707068058969	1707068059033	OK	 
REQUEST	8	login	/cgi-bin/nav.pll	1707068059035	1707068059172	OK	 
GROUP	8	login	1707068058768	1707068060158	399	OK
REQUEST	8	openflights	/cgi-bin/welcome.pl	1707068060159	1707068060770	OK	 
REQUEST	8	openflights	/cgi-bin/reservations.pl	1707068060772	1707068060919	OK	 
REQUEST	8	openflights	/cgi-bin/nav.pl	1707068060923	1707068061220	OK	 
GROUP	8	openflights	1707068060158	1707068062218	1055	OK
REQUEST	8	ticketattributes	/cgi-bin/reservations.pl	1707068062220	1707068062348	OK	 
REQUEST	8	ticketattributes	/cgi-bin/reservations.pl	1707068062351	1707068062552	OK	 
REQUEST	8	ticketattributes	/cgi-bin/reservations.pl	1707068062554	1707068062757	OK	 
GROUP	8	ticketattributes	1707068062218	1707068063748	532	OK
REQUEST	8	Itinerary	/cgi-bin/welcome.pl	1707068063749	1707068063813	OK	 
REQUEST	8	Itinerary	/cgi-bin/nav.pl	1707068063815	1707068064327	OK	 
REQUEST	8	Itinerary	/cgi-bin/itinerary.pl	1707068064329	1707068064434	OK	 
REQUEST	7	Itinerary	/cgi-bin/itinerary.pl	1707068046783	1707068064966	OK	 
USER	mainScenario	9	START	1707068065288	1707068065288
REQUEST	9	open	/webtours/	1707068065289	1707068065334	OK	 
REQUEST	9	open	/cgi-bin/welcome.pl	1707068065335	1707068065406	OK	 
GROUP	8	Itinerary	1707068063748	1707068065443	681	OK
